tegenpartij,code
ALBERTHEIJN,G1
ALDI,G1
ANWB B.V.,I1
Bakker,G1
Bauhaus,K1
Belastingdienst te Apeldoorn,A3
Betaalverzoek Rabobank,I10
Boekenvoordeel,I10
De Roskam,H2
Decathlon,I10
DIRK VDBROEK,G1
Drogisterij,G3
EasyUsenet ,I2
Electro Sounds,K1
Electrosan,K1
Eleshop,E5
Flatex Bank,M1
Gamma,K1
Geas Energiewacht BV,K1
HBM Machines,K1
HEMA,G2
Hertog Jan,H2
IKEA bv,G4
Stichting Pensioenfonds ,A5
Newsight,A1
